student_id	предмет1	предмет2	баллы за 2 экзамена
1	физика 	обществознание	42
2	физкультура	немецкий язык	42
3	биология	русский язык	177
5	информатика	химия	15
6	физкультура	обществознание	104
7	информатика	русский язык	173
8	биология	химия	18
9	обществознание	английский язык	221
10	обществознание	английский язык	3
11	физкультура	химия	178
12	физкультура	химия	31
13	физкультура	английский язык	89
14	информатика	математика	248
15	обществознание	математика	105
16	обществознание	русский язык	168
17	обществознание	русский язык	279
18	обществознание	физика	147
19	информатика	обществознание	39
20	биология	физика	224
21	биология	русский язык	79
22	биология	русский язык	131
23	информатика	физкультура	101
24	информатика	немецкий язык	134
25	биология	физкультура	186
26	обществознание	русский язык	79
28	информатика	литература	42
29	биология	литература	300
30	обществознание	физкультура	182
32	биология	обществознание	9
33	информатика	обществознание	166
34	физика 	русский язык	83
35	информатика	русский язык	242
36	физика 	английский язык	151
37	физика 	обществознание	164
38	физика 	физика	6
39	физика 	физкультура 	52
40	физика 	биология	113
42	физика 	обществознание	239
43	информатика	физкультура	135
44	физика 	английский язык	85
45	физика 	английский язык	61
46	информатика	география	26
47	физика 	обществознание	183
48	физика 	обществознание	58
50	физика 	обществознание	37
51	физика 	французский язык	27
52	физика 	история	44
53	обществознание	биология	222
54	физика 	обществознание	118
55	физика 	обществознание	103
56	физика 	обществознание	290
57	информатика	математика	167
59	физика 	русский язык	283
60	физика 	физика	72
61	обществознание	информатика	70
62	физика 	обществознание	172
63	физика 	физкультура	104
64	физика 	русский язык	144
66	физика 	физкультура 	262
67	физика 	английский язык	84
68	физика 	математика	3
69	физкультура	английский язык	221
70	информатика	математика	145
71	физика 	физика	4
73	физика 	обществознание	163
74	физика 	математика	11
75	физика 	обществознание	44
76	информатика	обществознание	110
77	биология	литература	145
79	обществознание	математика	76
80	физкультура	география 	124
81	физика 	физкультура	165
82	биология	русский язык	194
83	физика 	химия	88
84	биология	математика	155
85	обществознание	русский язык	7
86	обществознание	информатика	108
87	физкультура	немецкий язык	277
88	физика 	биология	189
89	биология	английский язык	218
90	физика 	информатика	187
91	биология	ИЗО	52
92	обществознание	литература	64
94	физкультура	биология	70
95	физика 	физкультура	19
96	биология	информатика	263
97	физика 	физкультура	71
98	биология	русский язык	270
99	обществознание	русский язык	50
100	обществознание	литература	187
101	физкультура	обществознание	60
102	физика 	история	268
103	биология	физика	65
104	физика 	английский язык	50
105	биология	химия	175
106	обществознание	физика	193
107	обществознание	физкультура	176
108	физкультура	физика	6
109	физика 	математика	13
110	обществознание	физика	58
111	обществознание	русский язык	37
112	физкультура	физика	81
113	физика 	русский язык	223
114	информатика	английский язык	141
115	биология	химия	148
116	обществознание	французский язык	274
117	обществознание	физика	229
118	физкультура	обществознание	44
119	физика 	обществознание	140
120	биология	обществознание	72
121	физика 	английский язык	116
122	биология	ИЗО	231
123	обществознание	литература	118
124	обществознание	физика	173
125	физкультура	математика	7
126	физика 	химия	154
127	биология	французский язык	1
128	физика 	обществознание	98
129	биология	физкультура	288
132	физкультура	информатика	126
133	физика 	английский язык	29
134	обществознание	английский язык	218
135	биология	английский язык	297
136	обществознание	информатика	84
137	обществознание	ИЗО	122
138	физкультура	химия	85
139	физика 	английский язык	118
141	физика 	физкультура	32
142	физика 	химия	48
143	физика 	информатика	290
144	физика 	ИЗО	202
145	физика 	математика	42
146	физика 	обществознание	93
147	физика 	обществознание	157
148	информатика	русский язык	141
149	биология	английский язык	121
150	обществознание	математика	246
151	обществознание	английский язык	71
152	физкультура	география 	47
153	физика 	физкультура	153
154	биология	химия	194
155	физика 	химия	115
156	биология	обществознание	237
157	обществознание	информатика	1
158	обществознание	математика	287
160	физика 	французский язык	17
161	биология	английский язык	257
162	физика 	английский язык	248
